Municipio;CodMunicipio;CodMicroRegiao;MicroRegiao;CodMesoRegiao;MesoRegiao;CodEstado
Itapuã do Oeste;1101104;110001;Porto Velho;1101;Porto Velho;11
Candeias do Jamari;1100809;110001;Porto Velho;1101;Porto Velho;11
Nova Mamoré;1100338;110001;Porto Velho;1101;Porto Velho;11
Porto Velho;1100205;110001;Porto Velho;1101;Porto Velho;11
Guajará-Mirim;1100106;110001;Porto Velho;1101;Porto Velho;11
Monte Negro;1101401;110002;Ariquemes;1101;Porto Velho;11
Cujubim;1100940;110002;Ariquemes;1101;Porto Velho;11
Campo Novo de Rondônia;1100700;110002;Ariquemes;1101;Porto Velho;11
Cacaulândia;1100601;110002;Ariquemes;1101;Porto Velho;11
Buritis;1100452;110002;Ariquemes;1101;Porto Velho;11
Alto Paraíso;1100403;110002;Ariquemes;1101;Porto Velho;11
Rio Crespo;1100262;110002;Ariquemes;1101;Porto Velho;11
Ariquemes;1100023;110002;Ariquemes;1101;Porto Velho;11
Vale do Anari;1101757;110003;Jaru;1101;Porto Velho;11
Theobroma;1101609;110003;Jaru;1101;Porto Velho;11
Governador Jorge Teixeira;1101005;110003;Jaru;1101;Porto Velho;11
Machadinho D'Oeste;1100130;110003;Jaru;1101;Porto Velho;11
Jaru;1100114;110003;Jaru;1101;Porto Velho;11
Vale do Paraíso;1101807;110004;Ji-Paraná;1102;Ji-Paraná;11
Urupá;1101708;110004;Ji-Paraná;1102;Ji-Paraná;11
Teixeirópolis;1101559;110004;Ji-Paraná;1102;Ji-Paraná;11
Seringueiras;1101500;110004;Ji-Paraná;1102;Ji-Paraná;11
São Francisco do Guaporé;1101492;110004;Ji-Paraná;1102;Ji-Paraná;11
Nova União;1101435;110004;Ji-Paraná;1102;Ji-Paraná;11
Mirante da Serra;1101302;110004;Ji-Paraná;1102;Ji-Paraná;11
Alvorada D'Oeste;1100346;110004;Ji-Paraná;1102;Ji-Paraná;11
São Miguel do Guaporé;1100320;110004;Ji-Paraná;1102;Ji-Paraná;11
Presidente Médici;1100254;110004;Ji-Paraná;1102;Ji-Paraná;11
Ouro Preto do Oeste;1100155;110004;Ji-Paraná;1102;Ji-Paraná;11
Ji-Paraná;1100122;110004;Ji-Paraná;1102;Ji-Paraná;11
Costa Marques;1100080;110004;Ji-Paraná;1102;Ji-Paraná;11
São Felipe D'Oeste;1101484;110005;Cacoal;1102;Ji-Paraná;11
Primavera de Rondônia;1101476;110005;Cacoal;1102;Ji-Paraná;11
Parecis;1101450;110005;Cacoal;1102;Ji-Paraná;11
Ministro Andreazza;1101203;110005;Cacoal;1102;Ji-Paraná;11
Castanheiras;1100908;110005;Cacoal;1102;Ji-Paraná;11
Novo Horizonte do Oeste;1100502;110005;Cacoal;1102;Ji-Paraná;11
Alto Alegre dos Parecis;1100379;110005;Cacoal;1102;Ji-Paraná;11
Santa Luzia D'Oeste;1100296;110005;Cacoal;1102;Ji-Paraná;11
Rolim de Moura;1100288;110005;Cacoal;1102;Ji-Paraná;11
Pimenta Bueno;1100189;110005;Cacoal;1102;Ji-Paraná;11
Nova Brasilândia D'Oeste;1100148;110005;Cacoal;1102;Ji-Paraná;11
Espigão D'Oeste;1100098;110005;Cacoal;1102;Ji-Paraná;11
Cacoal;1100049;110005;Cacoal;1102;Ji-Paraná;11
Alta Floresta D'Oeste;1100015;110005;Cacoal;1102;Ji-Paraná;11
Pimenteiras do Oeste;1101468;110006;Vilhena;1102;Ji-Paraná;11
Chupinguaia;1100924;110006;Vilhena;1102;Ji-Paraná;11
Vilhena;1100304;110006;Vilhena;1102;Ji-Paraná;11
Corumbiara;1100072;110006;Vilhena;1102;Ji-Paraná;11
Colorado do Oeste;1100064;110006;Vilhena;1102;Ji-Paraná;11
Cerejeiras;1100056;110006;Vilhena;1102;Ji-Paraná;11
Cabixi;1100031;110006;Vilhena;1102;Ji-Paraná;11
Porto Acre;1200807;120001;Rio Branco;1201;Rio Branco;12
Senador Guiomard;1200450;120001;Rio Branco;1201;Rio Branco;12
Rio Branco;1200401;120001;Rio Branco;1201;Rio Branco;12
Plácido de Castro;1200385;120001;Rio Branco;1201;Rio Branco;12
Capixaba;1200179;120001;Rio Branco;1201;Rio Branco;12
Bujari;1200138;120001;Rio Branco;1201;Rio Branco;12
Acrelândia;1200013;120001;Rio Branco;1201;Rio Branco;12
Xapuri;1200708;120002;Brasiléia;1201;Rio Branco;12
Epitaciolândia;1200252;120002;Brasiléia;1201;Rio Branco;12
Brasiléia;1200104;120002;Brasiléia;1201;Rio Branco;12
Assis Brasil;1200054;120002;Brasiléia;1201;Rio Branco;12
Sena Madureira;1200500;120003;Sena Madureira;1201;Rio Branco;12
Santa Rosa do Purus;1200435;120003;Sena Madureira;1201;Rio Branco;12
Manoel Urbano;1200344;120003;Sena Madureira;1201;Rio Branco;12
Rodrigues Alves;1200427;120004;Cruzeiro do Sul;1202;Cruzeiro do Sul;12
Porto Walter;1200393;120004;Cruzeiro do Sul;1202;Cruzeiro do Sul;12
Marechal Thaumaturgo;1200351;120004;Cruzeiro do Sul;1202;Cruzeiro do Sul;12
Mâncio Lima;1200336;120004;Cruzeiro do Sul;1202;Cruzeiro do Sul;12
Cruzeiro do Sul;1200203;120004;Cruzeiro do Sul;1202;Cruzeiro do Sul;12
Tarauacá;1200609;120005;Tarauacá;1202;Cruzeiro do Sul;12
Jordão;1200328;120005;Tarauacá;1202;Cruzeiro do Sul;12
Feijó;1200302;120005;Tarauacá;1202;Cruzeiro do Sul;12
Rio Preto da Eva;1303569;130001;Manaus;1301;Manaus;13
Presidente Figueiredo;1303536;130001;Manaus;1301;Manaus;13
Nova Olinda do Norte;1303106;130001;Manaus;1301;Manaus;13
Manaus;1302603;130001;Manaus;1301;Manaus;13
Manaquiri;1302553;130001;Manaus;1301;Manaus;13
Iranduba;1301852;130001;Manaus;1301;Manaus;13
Careiro da Várzea;1301159;130001;Manaus;1301;Manaus;13
Careiro;1301100;130001;Manaus;1301;Manaus;13
Borba;1300805;130001;Manaus;1301;Manaus;13
Autazes;1300300;130001;Manaus;1301;Manaus;13
São Gabriel da Cachoeira;1303809;130002;São Gabriel da Cachoeira;1301;Manaus;13
Santa Isabel do Rio Negro;1303601;130002;São Gabriel da Cachoeira;1301;Manaus;13
Barcelos;1300409;130002;São Gabriel da Cachoeira;1301;Manaus;13
Codajás;1301308;130003;Coari;1301;Manaus;13
Coari;1301209;130003;Coari;1301;Manaus;13
Beruri;1300631;130003;Coari;1301;Manaus;13
Anori;1300102;130003;Coari;1301;Manaus;13
Novo Airão;1303205;130004;Manacapuru;1301;Manaus;13
Manacapuru;1302504;130004;Manacapuru;1301;Manaus;13
Caapiranga;1300839;130004;Manacapuru;1301;Manaus;13
Anamã;1300086;130004;Manacapuru;1301;Manaus;13
Uarini;1304260;130005;Tefé;1302;Tefé;13
Tefé;1304203;130005;Tefé;1302;Tefé;13
Maraã;1302801;130005;Tefé;1302;Tefé;13
Jutaí;1302306;130005;Tefé;1302;Tefé;13
Juruá;1302207;130005;Tefé;1302;Tefé;13
Japurá;1302108;130005;Tefé;1302;Tefé;13
Fonte Boa;1301605;130005;Tefé;1302;Tefé;13
Carauari;1301001;130005;Tefé;1302;Tefé;13
Alvarães;1300029;130005;Tefé;1302;Tefé;13
Tonantins;1304237;130006;Tabatinga;1302;Tefé;13
Tabatinga;1304062;130006;Tabatinga;1302;Tefé;13
São Paulo de Olivença;1303908;130006;Tabatinga;1302;Tefé;13
Santo Antônio do Içá;1303700;130006;Tabatinga;1302;Tefé;13
Benjamin Constant;1300607;130006;Tabatinga;1302;Tefé;13
